Date,Open,High,Low,Close,Adj Close,Volume
2020-09-25,46.900002,47.200001,46.700001,46.750000,46.750000,229362
2020-09-28,46.750000,47.200001,46.700001,46.849998,46.849998,310622
2020-09-29,47.000000,47.150002,47.000000,47.150002,47.150002,62223
2020-09-30,47.000000,47.200001,46.849998,46.849998,46.849998,137499
2020-10-05,46.849998,47.250000,46.849998,47.200001,47.200001,103039
2020-10-06,47.500000,47.849998,47.500000,47.750000,47.750000,181067
2020-10-07,47.750000,48.150002,47.549999,48.150002,48.150002,105632
2020-10-08,48.200001,49.500000,48.049999,49.150002,49.150002,351025
2020-10-12,49.099998,49.099998,48.250000,48.750000,48.750000,325120
2020-10-13,48.750000,48.750000,48.200001,48.250000,48.250000,206830
2020-10-14,48.400002,48.799999,48.000000,48.700001,48.700001,93304
2020-10-15,48.750000,49.200001,48.750000,48.900002,48.900002,315225
2020-10-16,48.900002,49.200001,48.400002,48.950001,48.950001,186928
2020-10-19,49.000000,49.400002,48.599998,49.400002,49.400002,166810
2020-10-20,49.400002,49.450001,49.200001,49.400002,49.400002,182600
2020-10-21,49.349998,49.599998,49.099998,49.500000,49.500000,209243
2020-10-22,49.500000,49.700001,49.200001,49.200001,49.200001,298344
2020-10-23,49.200001,49.349998,49.000000,49.349998,49.349998,145853
2020-10-26,49.200001,49.349998,48.900002,48.900002,48.900002,174983
2020-10-27,48.849998,50.299999,48.849998,49.599998,49.599998,597226
2020-10-28,49.900002,50.099998,49.549999,49.900002,49.900002,221088
2020-10-29,49.299999,49.750000,49.049999,49.450001,49.450001,90939
2020-10-30,49.200001,49.500000,49.150002,49.349998,49.349998,110568
2020-11-02,49.099998,49.349998,49.099998,49.250000,49.250000,76538
